key,taxonKey,type,language,description,source
77777788,141264581,pathway,eng,cbd_2014_pathway:escape_horticulture,
77777789,141264581,native range,eng,cultivated origin,
77777790,141264581,invasion stage,eng,established,
77776246,141264583,invasion stage,eng,casual,
77776247,141264583,pathway,eng,cbd_2014_pathway:escape_horticulture,
77776248,141264583,native range,eng,temperate Asia (WGSRPD:3),
77776326,141264585,native range,eng,Asia,
77776327,141264585,native range,eng,Australasia (WGSRPD:5),
77776328,141264585,invasion stage,eng,casual,
77776329,141264585,pathway,eng,cbd_2014_pathway:escape_horticulture,
77776220,141264587,native range,eng,Pantropical,
77776221,141264587,invasion stage,eng,casual,
77776222,141264587,pathway,eng,cbd_2014_pathway:contaminant_seed,
77776840,141264589,native range,eng,Southern America (WGSRPD:8),
77776841,141264589,invasion stage,eng,casual,
77776842,141264589,pathway,eng,cbd_2014_pathway:escape_horticulture,
77777921,141264591,native range,eng,Southern America (WGSRPD:8),
77777922,141264591,invasion stage,eng,casual,
77777923,141264591,pathway,eng,cbd_2014_pathway:escape_horticulture,
77776626,141264592,native range,eng,Northern America (WGSRPD:7),
77776627,141264592,invasion stage,eng,casual,
77776628,141264592,pathway,eng,cbd_2014_pathway:contaminant_seed,
77776467,141264594,native range,eng,Africa (WGSRPD:2),
77776468,141264594,native range,eng,Europe (WGSRPD:1),
77776469,141264594,invasion stage,eng,casual,
77776470,141264594,native range,eng,temperate Asia (WGSRPD:3),
77776464,141264596,native range,eng,Australasia (WGSRPD:5),
77776465,141264596,invasion stage,eng,casual,
77776466,141264596,pathway,eng,cbd_2014_pathway:escape_horticulture,
77776512,141264598,native range,eng,Southern America (WGSRPD:8),
77776513,141264598,invasion stage,eng,casual,
77776514,141264598,pathway,eng,cbd_2014_pathway:escape_horticulture,
77776778,141264600,native range,eng,Europe (WGSRPD:1),
77776779,141264600,invasion stage,eng,casual,
77776780,141264600,native range,eng,temperate Asia (WGSRPD:3),
77775700,141264601,native range,eng,Northern America (WGSRPD:7),
77775701,141264601,invasion stage,eng,established,
77775748,141264603,native range,eng,Southern America (WGSRPD:8),
77775749,141264603,invasion stage,eng,casual,
77775750,141264603,pathway,eng,cbd_2014_pathway:escape_horticulture,
77776016,141264605,invasion stage,eng,casual,
77776017,141264605,pathway,eng,cbd_2014_pathway:escape_horticulture,
77776018,141264605,native range,eng,temperate Asia (WGSRPD:3),
77777275,141264607,native range,eng,Europe (WGSRPD:1),
77777276,141264607,pathway,eng,cbd_2014_pathway:escape_horticulture,
77777277,141264607,invasion stage,eng,established,
77776607,141264608,invasion stage,eng,casual,
77776608,141264608,pathway,eng,cbd_2014_pathway:escape_horticulture,
77776609,141264608,native range,eng,temperate Asia (WGSRPD:3),
77775342,141264609,invasion stage,eng,casual,
77775343,141264609,pathway,eng,cbd_2014_pathway:escape_food_bait,
77775344,141264609,native range,eng,tropical Asia (WGSRPD:4),
77774901,141264610,native range,eng,Northern America (WGSRPD:7),
77774902,141264610,pathway,eng,cbd_2014_pathway:escape_horticulture,
77774903,141264610,invasion stage,eng,established,
77774861,141264612,invasion stage,eng,casual,
77774862,141264612,pathway,eng,cbd_2014_pathway:escape_horticulture,
77774863,141264612,native range,eng,temperate Asia (WGSRPD:3),
77774813,141264614,invasion stage,eng,casual,
77774814,141264614,pathway,eng,cbd_2014_pathway:escape_horticulture,
77774815,141264614,native range,eng,cultivated origin,
77776456,141264616,native range,eng,Africa (WGSRPD:2),
77776457,141264616,native range,eng,Europe (WGSRPD:1),
77776458,141264616,invasion stage,eng,casual,
77776459,141264616,pathway,eng,cbd_2014_pathway:contaminant_on_animals,
77776460,141264616,native range,eng,temperate Asia (WGSRPD:3),
77775120,141264617,native range,eng,Africa (WGSRPD:2),
77775121,141264617,invasion stage,eng,casual,
77775122,141264617,pathway,eng,cbd_2014_pathway:contaminant_nursery,
77775101,141264619,native range,eng,Northern America (WGSRPD:7),
77775102,141264619,invasion stage,eng,casual,
77775103,141264619,pathway,eng,cbd_2014_pathway:escape_horticulture,
77774286,141264621,native range,eng,Southern America (WGSRPD:8),
77774287,141264621,invasion stage,eng,casual,
77774288,141264621,pathway,eng,cbd_2014_pathway:escape_horticulture,
77776294,141264623,pathway,eng,cbd_2014_pathway:escape_horticulture,
77776295,141264623,invasion stage,eng,established,
77776296,141264623,native range,eng,pan-American,
77776461,141264624,native range,eng,Southern America (WGSRPD:8),
77776462,141264624,invasion stage,eng,casual,
77776463,141264624,pathway,eng,cbd_2014_pathway:escape_horticulture,
77774382,141264625,native range,eng,Asia,
77774383,141264625,native range,eng,Europe (WGSRPD:1),
77774384,141264625,pathway,eng,cbd_2014_pathway:escape_horticulture,
77774385,141264625,invasion stage,eng,extinct,
77774582,141264627,native range,eng,Northern America (WGSRPD:7),
77774583,141264627,invasion stage,eng,casual,
77774584,141264627,pathway,eng,cbd_2014_pathway:escape_horticulture,
77777474,141264629,native range,eng,Europe (WGSRPD:1),
77777475,141264629,invasion stage,eng,casual,
77777476,141264629,pathway,eng,cbd_2014_pathway:escape_horticulture,
77775440,141264630,native range,eng,Africa (WGSRPD:2),
77775441,141264630,native range,eng,Europe (WGSRPD:1),
77775442,141264630,invasion stage,eng,casual,
77775443,141264630,pathway,eng,cbd_2014_pathway:escape_horticulture,
77775444,141264630,native range,eng,temperate Asia (WGSRPD:3),
77773929,141264631,native range,eng,Europe (WGSRPD:1),
77773930,141264631,pathway,eng,cbd_2014_pathway:escape_horticulture,
77773931,141264631,invasion stage,eng,established,
77776380,141264633,pathway,eng,cbd_2014_pathway:escape_horticulture,
77776381,141264633,invasion stage,eng,established,
77776382,141264633,native range,eng,hybrid origin,
77775205,141264634,native range,eng,Europe (WGSRPD:1),
77775206,141264634,invasion stage,eng,casual,
77775207,141264634,pathway,eng,cbd_2014_pathway:escape_horticulture,
77775208,141264634,native range,eng,temperate Asia (WGSRPD:3),
77774187,141264635,native range,eng,Europe (WGSRPD:1),
77774188,141264635,pathway,eng,cbd_2014_pathway:escape_horticulture,
77774189,141264635,invasion stage,eng,established,
77774038,141264637,pathway,eng,cbd_2014_pathway:escape_horticulture,
77774039,141264637,invasion stage,eng,established,
77774040,141264637,native range,eng,pan-American,
77777036,141264639,native range,eng,Northern America (WGSRPD:7),
77777037,141264639,pathway,eng,cbd_2014_pathway:escape_horticulture,
77777038,141264639,invasion stage,eng,established,
77774088,141264640,native range,eng,Southern America (WGSRPD:8),
77774089,141264640,pathway,eng,cbd_2014_pathway:escape_horticulture,
77774090,141264640,invasion stage,eng,established,
77773353,141264642,invasion stage,eng,casual,
77773354,141264642,pathway,eng,cbd_2014_pathway:escape_horticulture,
77773355,141264642,native range,eng,cultivated origin,
77777960,141264644,native range,eng,Europe (WGSRPD:1),
77777961,141264644,invasion stage,eng,casual,
77777962,141264644,pathway,eng,cbd_2014_pathway:escape_horticulture,
77777963,141264644,native range,eng,temperate Asia (WGSRPD:3),
77776032,141264645,native range,eng,Africa (WGSRPD:2),
77776033,141264645,invasion stage,eng,casual,
77776034,141264645,pathway,eng,cbd_2014_pathway:escape_horticulture,
77776497,141264646,native range,eng,Northern America (WGSRPD:7),
77776498,141264646,pathway,eng,cbd_2014_pathway:escape_horticulture,
77776499,141264646,invasion stage,eng,established,
77774680,141264647,native range,eng,Europe (WGSRPD:1),
77774681,141264647,invasion stage,eng,casual,
77774682,141264647,pathway,eng,cbd_2014_pathway:escape_horticulture,
77774683,141264647,native range,eng,temperate Asia (WGSRPD:3),
77774846,141264648,native range,eng,Northern America (WGSRPD:7),
77774847,141264648,invasion stage,eng,casual,
77774848,141264648,pathway,eng,cbd_2014_pathway:escape_horticulture,
77774987,141264649,native range,eng,Africa (WGSRPD:2),
77774988,141264649,native range,eng,Europe (WGSRPD:1),
77774989,141264649,pathway,eng,cbd_2014_pathway:escape_horticulture,
77774990,141264649,invasion stage,eng,established,
77774991,141264649,native range,eng,temperate Asia (WGSRPD:3),
77773362,141264650,native range,eng,Europe (WGSRPD:1),
77773363,141264650,pathway,eng,cbd_2014_pathway:escape_horticulture,
77773364,141264650,invasion stage,eng,established,
77773410,141264652,native range,eng,Northern America (WGSRPD:7),
77773411,141264652,pathway,eng,cbd_2014_pathway:escape_horticulture,
77773412,141264652,invasion stage,eng,established,
77778017,141264654,native range,eng,Northern America (WGSRPD:7),
77778018,141264654,invasion stage,eng,casual,
77778019,141264654,pathway,eng,cbd_2014_pathway:escape_horticulture,
77775080,141264655,invasion stage,eng,casual,
77775081,141264655,pathway,eng,cbd_2014_pathway:contaminant_seed,
77775082,141264655,native range,eng,pan-American,
77773734,141264656,native range,eng,Pantropical,
77773735,141264656,invasion stage,eng,casual,
77773736,141264656,pathway,eng,cbd_2014_pathway:contaminant_seed,
77776075,141264659,native range,eng,Northern America (WGSRPD:7),
77776076,141264659,invasion stage,eng,casual,
77776077,141264659,pathway,eng,cbd_2014_pathway:escape_horticulture,
77773820,141264660,pathway,eng,cbd_2014_pathway:escape_horticulture,
77773821,141264660,native range,eng,cultivated origin,
77773822,141264660,invasion stage,eng,established,
77773048,141264661,pathway,eng,cbd_2014_pathway:escape_horticulture,
77773049,141264661,invasion stage,eng,established,
77773050,141264661,native range,eng,temperate Asia (WGSRPD:3),
77773031,141264663,invasion stage,eng,casual,
77773032,141264663,pathway,eng,cbd_2014_pathway:escape_horticulture,
77773033,141264663,native range,eng,temperate Asia (WGSRPD:3),
77776453,141264665,native range,eng,Asia,
77776454,141264665,native range,eng,Europe (WGSRPD:1),
77776455,141264665,invasion stage,eng,casual,
77772942,141264666,invasion stage,eng,casual,
77772943,141264666,pathway,eng,cbd_2014_pathway:escape_horticulture,
77772944,141264666,native range,eng,temperate Asia (WGSRPD:3),
77773234,141264668,native range,eng,Northern America (WGSRPD:7),
77773235,141264668,pathway,eng,cbd_2014_pathway:escape_horticulture,
77773236,141264668,invasion stage,eng,established,
77773189,141264670,native range,eng,Africa (WGSRPD:2),
77773190,141264670,pathway,eng,cbd_2014_pathway:escape_horticulture,
77773191,141264670,invasion stage,eng,established,
77777869,141264672,invasion stage,eng,casual,
77777870,141264672,pathway,eng,cbd_2014_pathway:escape_horticulture,
77777871,141264672,native range,eng,temperate Asia (WGSRPD:3),
77776170,141264673,invasion stage,eng,casual,
77776171,141264673,pathway,eng,cbd_2014_pathway:escape_horticulture,
77776172,141264673,native range,eng,temperate Asia (WGSRPD:3),
77773359,141264674,invasion stage,eng,casual,
77773360,141264674,pathway,eng,cbd_2014_pathway:escape_horticulture,
77773361,141264674,native range,eng,temperate Asia (WGSRPD:3),
77773170,141264675,invasion stage,eng,casual,
77773171,141264675,pathway,eng,cbd_2014_pathway:escape_food_bait,
77773172,141264675,native range,eng,temperate Asia (WGSRPD:3),
77773100,141264677,invasion stage,eng,casual,
77773101,141264677,pathway,eng,cbd_2014_pathway:escape_horticulture,
77773102,141264677,native range,eng,temperate Asia (WGSRPD:3),
77772537,141264679,invasion stage,eng,casual,
77772538,141264679,pathway,eng,cbd_2014_pathway:escape_food_bait,
77772539,141264679,native range,eng,temperate Asia (WGSRPD:3),
77772447,141264681,native range,eng,Northern America (WGSRPD:7),
77772448,141264681,pathway,eng,cbd_2014_pathway:escape_horticulture,
77772449,141264681,invasion stage,eng,established,
77772450,141264681,native range,eng,temperate Asia (WGSRPD:3),
77772842,141264683,invasion stage,eng,casual,
77772843,141264683,pathway,eng,cbd_2014_pathway:escape_horticulture,
77772844,141264683,native range,eng,temperate Asia (WGSRPD:3),
77778119,141264685,native range,eng,Africa (WGSRPD:2),
77778120,141264685,native range,eng,Europe (WGSRPD:1),
77778121,141264685,pathway,eng,cbd_2014_pathway:escape_horticulture,
77778122,141264685,invasion stage,eng,established,
77778123,141264685,native range,eng,temperate Asia (WGSRPD:3),
77777244,141264686,native range,eng,Africa (WGSRPD:2),
77777245,141264686,native range,eng,Europe (WGSRPD:1),
77777246,141264686,invasion stage,eng,casual,
77777247,141264686,pathway,eng,cbd_2014_pathway:escape_horticulture,
77774293,141264687,native range,eng,Europe (WGSRPD:1),
77774294,141264687,invasion stage,eng,casual,
77774295,141264687,pathway,eng,cbd_2014_pathway:escape_horticulture,
77772790,141264688,native range,eng,Africa (WGSRPD:2),
77772791,141264688,native range,eng,Europe (WGSRPD:1),
77772792,141264688,pathway,eng,cbd_2014_pathway:escape_horticulture,
77772793,141264688,invasion stage,eng,established,
77772746,141264690,native range,eng,Africa (WGSRPD:2),
77772747,141264690,native range,eng,Europe (WGSRPD:1),
77772748,141264690,invasion stage,eng,casual,
77772749,141264690,pathway,eng,cbd_2014_pathway:contaminant_on_animals,
77772750,141264690,pathway,eng,cbd_2014_pathway:contaminant_seed,
77772751,141264690,native range,eng,temperate Asia (WGSRPD:3),
77772660,141264691,invasion stage,eng,casual,
77772661,141264691,pathway,eng,cbd_2014_pathway:escape_horticulture,
77772662,141264691,native range,eng,temperate Asia (WGSRPD:3),
77772261,141264692,native range,eng,Northern America (WGSRPD:7),
77772262,141264692,invasion stage,eng,casual,
77772263,141264692,pathway,eng,cbd_2014_pathway:escape_horticulture,
77775123,141264694,native range,eng,Europe (WGSRPD:1),
77775124,141264694,pathway,eng,cbd_2014_pathway:escape_horticulture,
77775125,141264694,invasion stage,eng,established,
77772317,141264695,pathway,eng,cbd_2014_pathway:escape_horticulture,
77772318,141264695,invasion stage,eng,established,
77772319,141264695,native range,eng,pan-American,
77772356,141264697,pathway,eng,cbd_2014_pathway:escape_horticulture,
77772357,141264697,invasion stage,eng,established,
77772358,141264697,native range,eng,temperate Asia (WGSRPD:3),
77775457,141264699,native range,eng,Europe (WGSRPD:1),
77775458,141264699,invasion stage,eng,casual,
77775459,141264699,pathway,eng,cbd_2014_pathway:escape_horticulture,
77772371,141264700,invasion stage,eng,casual,
77772372,141264700,pathway,eng,cbd_2014_pathway:escape_horticulture,
77772373,141264700,native range,eng,cultivated origin,
77775657,141264702,native range,eng,Africa (WGSRPD:2),
77775658,141264702,native range,eng,Europe (WGSRPD:1),
77775659,141264702,invasion stage,eng,casual,
77775660,141264702,native range,eng,temperate Asia (WGSRPD:3),
77772418,141264703,native range,eng,Europe (WGSRPD:1),
77772419,141264703,invasion stage,eng,casual,
77772420,141264703,pathway,eng,cbd_2014_pathway:escape_horticulture,
77772628,141264705,native range,eng,Northern America (WGSRPD:7),
77772629,141264705,invasion stage,eng,casual,
77772630,141264705,pathway,eng,cbd_2014_pathway:escape_food_bait,
77771987,141264706,native range,eng,Africa (WGSRPD:2),
77771988,141264706,native range,eng,Europe (WGSRPD:1),
77771989,141264706,invasion stage,eng,casual,
77771990,141264706,pathway,eng,cbd_2014_pathway:escape_horticulture,
77771991,141264706,native range,eng,temperate Asia (WGSRPD:3),
77774689,141264708,native range,eng,Europe (WGSRPD:1),
77774690,141264708,invasion stage,eng,casual,
77774691,141264708,pathway,eng,cbd_2014_pathway:escape_horticulture,
77774692,141264708,native range,eng,temperate Asia (WGSRPD:3),
77772054,141264709,native range,eng,Northern America (WGSRPD:7),
77772055,141264709,pathway,eng,cbd_2014_pathway:escape_horticulture,
77772056,141264709,invasion stage,eng,established,
77775262,141264711,native range,eng,Africa (WGSRPD:2),
77775263,141264711,native range,eng,Europe (WGSRPD:1),
77775264,141264711,invasion stage,eng,casual,
77775265,141264711,pathway,eng,cbd_2014_pathway:escape_horticulture,
77775266,141264711,native range,eng,temperate Asia (WGSRPD:3),
77772113,141264712,native range,eng,Africa (WGSRPD:2),
77772114,141264712,native range,eng,Europe (WGSRPD:1),
77772115,141264712,invasion stage,eng,casual,
77772116,141264712,pathway,eng,cbd_2014_pathway:escape_horticulture,
77773573,141264714,native range,eng,Africa (WGSRPD:2),
77773574,141264714,native range,eng,Asia,
77773575,141264714,native range,eng,Europe (WGSRPD:1),
77773576,141264714,invasion stage,eng,casual,
77773577,141264714,pathway,eng,cbd_2014_pathway:contaminant_on_animals,
77771807,141264715,native range,eng,Southern America (WGSRPD:8),
77771808,141264715,invasion stage,eng,casual,
77771809,141264715,pathway,eng,cbd_2014_pathway:contaminant_habitat_material,
77777297,141264717,invasion stage,eng,casual,
77777298,141264717,pathway,eng,cbd_2014_pathway:escape_horticulture,
77777299,141264717,native range,eng,cultivated origin,
77776561,141264718,invasion stage,eng,casual,
77776562,141264718,pathway,eng,cbd_2014_pathway:escape_horticulture,
77776563,141264718,native range,eng,temperate Asia (WGSRPD:3),
77771801,141264719,invasion stage,eng,casual,
77771802,141264719,pathway,eng,cbd_2014_pathway:escape_horticulture,
77771803,141264719,native range,eng,cultivated origin,
77777838,141264721,native range,eng,Africa (WGSRPD:2),
77777839,141264721,native range,eng,Europe (WGSRPD:1),
77777840,141264721,invasion stage,eng,casual,
77777841,141264721,pathway,eng,cbd_2014_pathway:contaminant_seed,
77776972,141264722,native range,eng,Europe (WGSRPD:1),
77776973,141264722,invasion stage,eng,casual,
77776974,141264722,pathway,eng,cbd_2014_pathway:escape_horticulture,
77776367,141264723,native range,eng,Northern America (WGSRPD:7),
77776368,141264723,invasion stage,eng,casual,
77773010,141264724,native range,eng,Africa (WGSRPD:2),
77773011,141264724,native range,eng,Europe (WGSRPD:1),
77773012,141264724,invasion stage,eng,casual,
77773013,141264724,pathway,eng,cbd_2014_pathway:contaminant_seed,
77773014,141264724,native range,eng,temperate Asia (WGSRPD:3),
77771796,141264725,native range,eng,Africa (WGSRPD:2),
77771797,141264725,native range,eng,Asia,
77771798,141264725,native range,eng,Europe (WGSRPD:1),
77771799,141264725,invasion stage,eng,casual,
77771800,141264725,pathway,eng,cbd_2014_pathway:escape_horticulture,
77777049,141264727,pathway,eng,cbd_2014_pathway:escape_horticulture,
77777050,141264727,invasion stage,eng,established,
77777051,141264727,native range,eng,temperate Asia (WGSRPD:3),
77775059,141264728,native range,eng,Northern America (WGSRPD:7),
77775060,141264728,pathway,eng,cbd_2014_pathway:escape_horticulture,
77775061,141264728,invasion stage,eng,established,
77772885,141264729,pathway,eng,cbd_2014_pathway:contaminant_timber,
77772886,141264729,invasion stage,eng,established,
77772887,141264729,native range,eng,temperate Asia (WGSRPD:3),
77771826,141264730,pathway,eng,cbd_2014_pathway:escape_horticulture,
77771827,141264730,invasion stage,eng,established,
77771828,141264730,native range,eng,temperate Asia (WGSRPD:3),
77771919,141264732,native range,eng,Europe (WGSRPD:1),
77771920,141264732,pathway,eng,cbd_2014_pathway:escape_horticulture,
77771921,141264732,invasion stage,eng,established,
77771922,141264732,native range,eng,temperate Asia (WGSRPD:3),
77777408,141264734,native range,eng,Northern America (WGSRPD:7),
77777409,141264734,pathway,eng,cbd_2014_pathway:escape_horticulture,
77777410,141264734,invasion stage,eng,established,
77771956,141264735,pathway,eng,cbd_2014_pathway:escape_horticulture,
77771957,141264735,invasion stage,eng,established,
77771958,141264735,native range,eng,temperate Asia (WGSRPD:3),
77776802,141264737,invasion stage,eng,casual,
77776803,141264737,pathway,eng,cbd_2014_pathway:escape_horticulture,
77776804,141264737,native range,eng,temperate Asia (WGSRPD:3),
77771578,141264738,native range,eng,Europe (WGSRPD:1),
77771579,141264738,invasion stage,eng,casual,
77771580,141264738,pathway,eng,cbd_2014_pathway:escape_horticulture,
77772857,141264740,native range,eng,Europe (WGSRPD:1),
77772858,141264740,invasion stage,eng,casual,
77772859,141264740,pathway,eng,cbd_2014_pathway:escape_horticulture,
77771611,141264741,native range,eng,Europe (WGSRPD:1),
77771612,141264741,invasion stage,eng,casual,
77771613,141264741,pathway,eng,cbd_2014_pathway:escape_horticulture,
77771723,141264742,native range,eng,Europe (WGSRPD:1),
77771724,141264742,invasion stage,eng,casual,
77771725,141264742,pathway,eng,cbd_2014_pathway:escape_horticulture,
77778116,141264744,native range,eng,Europe (WGSRPD:1),
77778117,141264744,pathway,eng,cbd_2014_pathway:escape_agriculture,
77778118,141264744,invasion stage,eng,established,
77778094,141264745,native range,eng,Northern America (WGSRPD:7),
77778095,141264745,pathway,eng,cbd_2014_pathway:escape_horticulture,
77778096,141264745,invasion stage,eng,established,
77777612,141264746,pathway,eng,cbd_2014_pathway:escape_horticulture,
77777613,141264746,invasion stage,eng,established,
77777614,141264746,native range,eng,temperate Asia (WGSRPD:3),
77771660,141264747,native range,eng,Northern America (WGSRPD:7),
77771661,141264747,pathway,eng,cbd_2014_pathway:escape_horticulture,
77771662,141264747,invasion stage,eng,established,
77776383,141264749,native range,eng,Northern America (WGSRPD:7),
77776384,141264749,pathway,eng,cbd_2014_pathway:escape_horticulture,
77776385,141264749,invasion stage,eng,established,
77771766,141264750,invasion stage,eng,casual,
77771767,141264750,pathway,eng,cbd_2014_pathway:escape_horticulture,
77771768,141264750,native range,eng,temperate Asia (WGSRPD:3),
77777718,141264752,native range,eng,Europe (WGSRPD:1),
77777719,141264752,pathway,eng,cbd_2014_pathway:escape_horticulture,
77777720,141264752,invasion stage,eng,established,
77777721,141264752,native range,eng,temperate Asia (WGSRPD:3),
77776447,141264753,invasion stage,eng,casual,
77776448,141264753,pathway,eng,cbd_2014_pathway:escape_horticulture,
77776449,141264753,native range,eng,cultivated origin,
77776638,141264754,native range,eng,Europe (WGSRPD:1),
77776639,141264754,invasion stage,eng,casual,
77776640,141264754,pathway,eng,cbd_2014_pathway:escape_horticulture,
77776641,141264754,native range,eng,temperate Asia (WGSRPD:3),
77776549,141264755,native range,eng,Africa (WGSRPD:2),
77776550,141264755,native range,eng,Europe (WGSRPD:1),
77776551,141264755,pathway,eng,cbd_2014_pathway:escape_horticulture,
77776552,141264755,invasion stage,eng,established,
77776553,141264755,native range,eng,temperate Asia (WGSRPD:3),
77773438,141264756,native range,eng,Africa (WGSRPD:2),
77773439,141264756,native range,eng,Europe (WGSRPD:1),
77773440,141264756,invasion stage,eng,casual,
77773441,141264756,pathway,eng,cbd_2014_pathway:escape_horticulture,
77773442,141264756,native range,eng,temperate Asia (WGSRPD:3),
77771726,141264757,native range,eng,Northern America (WGSRPD:7),
77771727,141264757,pathway,eng,cbd_2014_pathway:escape_horticulture,
77771728,141264757,invasion stage,eng,established,
77775240,141264759,native range,eng,Europe (WGSRPD:1),
77775241,141264759,invasion stage,eng,casual,
77775242,141264759,pathway,eng,cbd_2014_pathway:contaminant_on_animals,
77774965,141264760,native range,eng,Africa (WGSRPD:2),
77774966,141264760,native range,eng,Europe (WGSRPD:1),
77774967,141264760,invasion stage,eng,casual,
77774968,141264760,pathway,eng,cbd_2014_pathway:contaminant_seed,
77774969,141264760,native range,eng,temperate Asia (WGSRPD:3),
77773913,141264761,native range,eng,Europe (WGSRPD:1),
77773914,141264761,invasion stage,eng,casual,
77773915,141264761,pathway,eng,cbd_2014_pathway:escape_horticulture,
77772421,141264762,native range,eng,Africa (WGSRPD:2),
77772422,141264762,native range,eng,Europe (WGSRPD:1),
77772423,141264762,invasion stage,eng,casual,
77772424,141264762,pathway,eng,cbd_2014_pathway:contaminant_seed,
77772425,141264762,native range,eng,temperate Asia (WGSRPD:3),
77771431,141264763,native range,eng,Africa (WGSRPD:2),
77771432,141264763,invasion stage,eng,casual,
77771433,141264763,pathway,eng,cbd_2014_pathway:contaminant_seed,
77772282,141264765,native range,eng,Europe (WGSRPD:1),
77772283,141264765,pathway,eng,cbd_2014_pathway:escape_horticulture,
77772284,141264765,invasion stage,eng,established,
77772285,141264765,native range,eng,temperate Asia (WGSRPD:3),
77772080,141264766,native range,eng,Northern America (WGSRPD:7),
77772081,141264766,pathway,eng,cbd_2014_pathway:escape_horticulture,
77772082,141264766,invasion stage,eng,established,
77771525,141264767,invasion stage,eng,established,
77771526,141264767,native range,eng,hybrid origin,
77773275,141264769,native range,eng,Northern America (WGSRPD:7),
77773276,141264769,invasion stage,eng,casual,
77773277,141264769,pathway,eng,cbd_2014_pathway:escape_horticulture,
77771562,141264770,invasion stage,eng,casual,
77771563,141264770,pathway,eng,cbd_2014_pathway:escape_horticulture,
77771564,141264770,native range,eng,temperate Asia (WGSRPD:3),
77771540,141264772,invasion stage,eng,casual,
77771541,141264772,pathway,eng,cbd_2014_pathway:escape_horticulture,
77771542,141264772,native range,eng,temperate Asia (WGSRPD:3),
77775402,141264774,invasion stage,eng,casual,
77775403,141264774,pathway,eng,cbd_2014_pathway:escape_horticulture,
77775404,141264774,native range,eng,hybrid origin,
77772860,141264775,native range,eng,Europe (WGSRPD:1),
77772861,141264775,pathway,eng,cbd_2014_pathway:escape_horticulture,
77772862,141264775,invasion stage,eng,established,
77772767,141264776,native range,eng,Europe (WGSRPD:1),
77772768,141264776,invasion stage,eng,casual,
77772769,141264776,pathway,eng,cbd_2014_pathway:escape_horticulture,
77772770,141264776,native range,eng,temperate Asia (WGSRPD:3),
77772722,141264777,native range,eng,Europe (WGSRPD:1),
77772723,141264777,pathway,eng,cbd_2014_pathway:escape_horticulture,
77772724,141264777,invasion stage,eng,established,
77772725,141264777,native range,eng,temperate Asia (WGSRPD:3),
77772187,141264778,invasion stage,eng,casual,
77772188,141264778,native range,eng,hybrid origin,
77771704,141264779,native range,eng,Europe (WGSRPD:1),
77771705,141264779,invasion stage,eng,casual,
77771706,141264779,pathway,eng,cbd_2014_pathway:escape_horticulture,
77771707,141264779,native range,eng,temperate Asia (WGSRPD:3),
77771516,141264780,native range,eng,Northern America (WGSRPD:7),
77771517,141264780,invasion stage,eng,casual,
77771518,141264780,pathway,eng,cbd_2014_pathway:escape_horticulture,
77771238,141264781,native range,eng,Europe (WGSRPD:1),
77771239,141264781,invasion stage,eng,casual,
77771240,141264781,native range,eng,temperate Asia (WGSRPD:3),
77774361,141264783,native range,eng,Southern America (WGSRPD:8),
77774362,141264783,invasion stage,eng,casual,
77774363,141264783,pathway,eng,cbd_2014_pathway:escape_horticulture,
77771241,141264784,native range,eng,Southern America (WGSRPD:8),
77771242,141264784,invasion stage,eng,casual,
77771243,141264784,pathway,eng,cbd_2014_pathway:escape_food_bait,
77776963,141264786,native range,eng,Northern America (WGSRPD:7),
77776964,141264786,invasion stage,eng,casual,
77776965,141264786,pathway,eng,cbd_2014_pathway:escape_horticulture,
77776837,141264787,native range,eng,Northern America (WGSRPD:7),
77776838,141264787,invasion stage,eng,casual,
77776839,141264787,pathway,eng,cbd_2014_pathway:escape_horticulture,
77776855,141264788,native range,eng,Europe (WGSRPD:1),
77776856,141264788,pathway,eng,cbd_2014_pathway:escape_horticulture,
77776857,141264788,invasion stage,eng,established,
77776858,141264788,native range,eng,temperate Asia (WGSRPD:3),
77775817,141264789,native range,eng,Northern America (WGSRPD:7),
77775818,141264789,invasion stage,eng,casual,
77775819,141264789,pathway,eng,cbd_2014_pathway:contaminant_on_animals,
77775236,141264790,native range,eng,Northern America (WGSRPD:7),
77775237,141264790,invasion stage,eng,casual,
77775238,141264790,pathway,eng,cbd_2014_pathway:contaminant_seed,
77775239,141264790,pathway,eng,cbd_2014_pathway:contaminant_seed,
77774677,141264791,native range,eng,Northern America (WGSRPD:7),
77774678,141264791,invasion stage,eng,casual,
77774679,141264791,pathway,eng,cbd_2014_pathway:escape_horticulture,
77772247,141264792,native range,eng,Northern America (WGSRPD:7),
77772248,141264792,invasion stage,eng,casual,
77772249,141264792,pathway,eng,cbd_2014_pathway:contaminant_on_animals,
77772250,141264792,pathway,eng,cbd_2014_pathway:contaminant_seed,
77771402,141264793,native range,eng,Northern America (WGSRPD:7),
77771403,141264793,invasion stage,eng,casual,
77771404,141264793,pathway,eng,cbd_2014_pathway:escape_horticulture,
77771185,141264794,native range,eng,Northern America (WGSRPD:7),
77771186,141264794,invasion stage,eng,casual,
77771187,141264794,pathway,eng,cbd_2014_pathway:escape_horticulture,
77777094,141264796,pathway,eng,cbd_2014_pathway:escape_horticulture,
77777095,141264796,invasion stage,eng,established,
77777096,141264796,native range,eng,temperate Asia (WGSRPD:3),
77777624,141264797,native range,eng,Europe (WGSRPD:1),
